ID,interest,knowledge,helped_learning,rating
99,4,4,3,4
100,1,1,1,2
101,6,4,7,4
102,3,5,5,6
103,5,3,7,3
104,3,3,6,6
105,3,1,1,4
106,5,3,4,4
107,6,6,1,3
108,2,6,4,2
109,6,4,4,4
110,6,6,3,6
111,3,6,5,6
112,7,6,7,2
113,1,2,1,3
114,7,4,3,1
115,3,1,1,4
116,4,2,3,6
117,7,2,3,3
118,5,6,6,1
119,6,4,1,6
120,4,6,1,2
121,2,3,3,6
122,7,2,2,4
123,4,7,6,2
124,1,5,6,1
125,7,4,6,3
126,5,2,3,5
127,3,2,2,6
128,7,6,6,5
129,3,4,5,1
130,3,3,2,2
131,6,3,6,5
132,2,3,4,4
133,4,4,1,7
134,5,1,2,2
135,3,6,3,1
136,1,2,5,6
137,5,1,6,6
138,4,3,5,5
139,5,5,2,4
140,5,7,7,7
141,6,4,1,4
142,2,1,7,2
143,5,7,3,2
144,7,3,2,5
145,2,5,2,3
146,5,1,6,7
147,6,6,7,6
148,2,7,4,5
149,4,2,4,2
150,2,7,7,1
151,3,4,6,7
152,5,6,1,3
153,1,3,1,6
154,3,6,1,3
155,6,5,3,3
156,2,1,4,4
157,1,1,7,1
158,6,7,7,7
159,2,5,6,1
160,3,2,2,5
161,6,6,2,4
162,7,2,6,4
163,4,2,5,6
164,4,5,6,3
165,2,7,5,3
166,5,4,1,7
167,6,4,7,3
168,3,6,2,2
169,6,5,3,2
170,7,5,2,2
171,7,7,5,2
172,3,1,7,5
173,5,6,1,3
174,7,1,2,5
175,2,3,7,3
176,4,2,2,1
177,5,2,7,4
178,2,3,1,3
179,6,5,7,7
180,2,2,5,3
181,1,6,4,2
182,5,4,1,6
183,7,3,4,5
184,1,5,3,6
185,5,3,3,3
186,5,6,1,4
187,7,3,5,3
188,4,6,4,7
189,1,3,1,7
190,4,1,4,2
191,4,4,1,1
192,2,5,6,3
193,2,3,1,4
194,6,6,3,2
195,7,7,3,5
196,5,6,2,3
197,1,7,6,2
198,7,3,6,1
199,7,5,4,4
200,3,6,5,7
201,4,2,5,5
202,4,7,7,3
203,1,6,2,5
204,3,3,4,3
205,5,2,4,2
206,7,5,2,6
207,7,4,6,7
208,4,6,7,6
209,1,7,5,6
210,1,4,2,7
211,4,2,5,6
212,3,5,1,5
213,3,1,1,5
214,3,3,2,7
215,6,3,4,6
216,4,5,2,4
217,7,6,7,7
218,1,1,1,2
219,2,3,7,5
220,7,6,2,1
221,5,2,4,4
222,3,6,7,5
223,1,3,6,3
224,4,7,2,4
225,1,2,1,7
226,3,5,1,7
227,2,6,3,6
228,6,2,3,4
229,6,5,4,3
230,5,1,7,7
231,4,3,4,7
232,3,7,6,2
233,1,6,1,2
234,6,3,1,1
235,5,4,7,5
236,7,4,5,1
237,6,3,6,5
238,7,1,6,3
239,5,4,4,7
240,7,1,5,6
241,3,3,2,5
242,2,4,2,5
243,4,3,3,5
244,2,3,6,5
245,2,2,7,6
246,4,2,7,6
247,4,5,5,3
248,6,6,3,2
249,2,2,7,5
250,5,3,6,4
251,3,4,3,2
252,3,4,1,7
253,2,4,6,5
254,2,4,3,4
255,3,1,2,5
256,2,6,5,6
257,5,5,5,2
258,1,5,4,2
259,7,1,4,7
260,7,3,6,2
261,3,7,5,2
262,4,5,5,6
263,1,1,1,3
264,7,5,5,1
265,7,1,2,6
266,7,2,6,2
267,1,1,7,1
268,2,4,2,2
269,5,1,7,3
270,1,6,2,3
271,5,1,7,4
272,6,2,5,3
273,4,6,2,7
274,2,2,7,4
275,2,7,5,6
276,1,5,5,4
277,1,5,7,6
278,7,5,2,4
279,7,3,7,7
280,6,5,1,3
281,3,7,3,2
282,1,6,1,2
283,3,3,7,7
284,1,3,4,7
285,5,4,1,2
286,1,6,1,1
287,6,4,5,3
288,6,7,6,2
289,3,3,6,1
290,3,1,6,1
291,5,7,7,7
292,6,2,2,4
293,6,4,7,2
294,4,4,5,3
295,7,4,4,2
296,2,4,1,7
297,5,6,6,7
298,5,7,2,3
299,5,4,5,4
300,6,2,6,7
301,6,4,4,7
302,1,6,5,3
303,5,3,6,7
304,1,3,2,6
305,2,2,1,4
306,6,4,1,2
307,3,2,6,7
308,1,1,7,5
309,2,7,2,4
310,4,2,1,4
311,5,5,4,3
312,3,2,1,2
313,1,4,5,2
314,2,6,7,7
315,4,6,7,3
316,3,2,2,5
317,2,3,1,3
318,4,6,6,1
319,4,4,6,3
320,2,4,7,5
321,7,4,3,7
322,4,7,2,1
323,7,7,3,7
324,4,7,6,3
325,7,5,2,5
326,6,2,4,5
327,4,4,7,3
328,5,6,5,5
329,4,6,5,7
330,4,2,2,3
331,6,7,4,1
332,1,7,3,1
333,6,1,3,7
334,2,1,5,1
335,3,5,4,3
336,1,1,2,4
337,6,1,5,1
338,1,2,1,3
339,1,6,7,7
340,4,2,7,1
341,4,1,7,4
342,6,5,1,7
343,5,6,4,7
344,2,3,4,5
345,7,6,7,2
346,7,2,7,6
347,5,2,7,2
348,6,3,3,3
349,5,1,2,6
350,2,4,4,7
351,3,7,1,1
352,1,6,3,2
353,2,6,4,4
354,2,7,1,3
355,5,2,3,1
356,5,3,5,1
357,7,2,6,7
358,5,6,1,1
359,1,1,2,5
360,1,3,5,6
361,5,5,3,6
362,1,3,4,2
363,5,4,4,3
364,3,4,1,6
365,2,2,5,6
366,6,7,5,4
367,2,4,1,5
368,5,7,7,7
369,6,2,3,7
370,5,5,5,6
371,1,6,5,7
372,6,4,5,7
373,6,1,2,2
374,3,3,6,1
375,1,6,1,5
376,3,4,7,2
377,3,2,7,1
378,6,6,6,3
379,6,6,4,3
380,3,3,7,7
381,5,6,2,3
382,6,6,5,4
383,3,3,1,4
384,7,3,3,1
385,3,4,4,7
386,2,5,2,5
387,2,4,1,7
388,1,3,1,2
389,4,7,6,7
390,3,2,3,1
391,6,2,1,7
392,2,7,3,5
393,6,1,3,2
394,3,3,1,2
395,7,1,4,2
396,1,3,2,2
397,7,1,1,2
398,6,2,6,2
399,5,7,2,6
400,6,1,5,3
401,6,5,6,3
402,4,3,3,6
403,7,2,2,2
404,1,5,6,2
405,5,4,7,5
406,3,5,3,6
407,5,4,3,6
408,3,1,3,3
409,7,5,4,3
410,7,7,2,7
411,7,2,2,1
412,1,7,3,5
413,2,7,7,2
414,5,5,6,4
415,7,2,6,7
416,7,2,4,1
417,7,4,2,6
418,1,2,1,1
419,1,3,2,2
420,1,6,3,1
421,6,5,7,1
422,7,6,3,3
423,5,3,7,2
424,5,5,6,6
425,4,4,3,6
426,5,4,4,3
427,1,4,2,3
428,3,5,1,1
429,3,6,2,2
430,1,6,5,7
431,5,2,4,1
432,2,1,6,7
433,2,3,1,7
434,6,5,3,5
435,5,3,3,3
436,1,3,6,2
437,3,4,5,3
438,6,3,1,2
439,3,2,5,4
440,7,2,2,4
441,3,4,2,2
442,5,4,4,3
443,7,5,5,4
444,1,5,7,5
445,6,1,7,5
446,4,4,7,3
447,6,4,7,1
448,2,3,4,5
449,6,5,6,3
450,6,1,3,5
451,5,6,4,4
452,3,7,1,1
453,3,5,1,7
454,1,7,1,6
455,7,7,6,2
456,6,2,7,6
457,6,5,3,2
458,7,6,6,4
459,6,1,1,2
460,4,7,4,1
461,3,6,5,3
462,6,6,1,1
463,7,1,3,4
464,3,6,5,7
465,2,4,2,3
466,4,3,6,5
467,2,7,7,7
468,1,5,6,1
469,6,2,4,6
470,4,1,5,7
471,1,7,7,3
472,3,6,6,5
473,1,1,5,5
474,2,7,2,3
475,5,5,3,2
476,7,4,7,4
477,3,3,2,7
478,6,3,5,5
479,1,5,3,1
480,7,2,6,3
481,5,2,6,5
482,2,1,5,3
483,7,6,4,4
484,7,3,7,1
485,4,3,1,6
486,1,5,7,1
487,7,7,4,3
488,3,3,1,4
489,3,4,5,2
490,5,4,6,3
491,1,5,7,7
492,4,7,5,1
493,3,5,2,7
494,5,7,4,2
495,5,4,2,5
496,4,6,7,6
497,3,2,4,4
498,5,6,3,1
499,1,1,3,1
500,5,2,4,7
501,6,2,7,2
502,5,1,2,7
503,2,6,6,3
504,6,4,3,5
505,1,7,7,3
506,2,7,1,4
507,4,1,7,2
508,2,1,2,1
509,5,6,4,3
510,3,6,4,7
511,1,7,6,6
512,4,3,4,1
513,6,7,1,6
514,2,4,3,7
515,1,5,1,3
516,5,2,4,6
517,4,1,6,6
518,4,1,1,4
519,6,3,5,3
520,1,2,1,3
521,4,4,4,4
522,1,7,7,4
523,1,5,3,1
524,1,4,3,2
525,4,1,4,5
526,5,3,1,7
527,3,3,5,7
528,6,3,4,2
529,4,6,7,3
530,7,4,4,5
531,2,7,4,7
532,7,2,6,4
533,7,3,7,6
534,7,6,6,7
535,1,4,1,7
536,7,4,7,5
537,4,6,5,2
538,3,2,6,5
539,2,5,7,7
540,2,4,1,7
541,1,7,1,2
542,5,5,6,3
543,5,6,1,1
544,2,7,7,5
545,7,2,1,1
546,6,7,1,3
547,6,6,7,5
548,4,2,4,5
549,3,7,3,6
550,4,4,1,2
551,5,6,1,4
552,1,3,7,4
553,2,3,1,4
554,7,5,6,7
555,7,3,7,5
556,6,3,2,4
557,2,1,6,1
558,1,4,2,2
559,1,3,5,3
560,7,2,3,1
561,2,6,2,7
562,5,5,1,6
563,4,2,7,1
564,5,6,2,3
565,2,5,5,7
566,2,7,2,5
567,2,1,4,4
568,6,7,3,7
569,3,5,1,6
570,2,7,6,1
571,3,6,4,2
572,7,3,4,5
573,4,3,3,5
574,6,1,7,2
575,4,5,1,5
576,5,1,1,4
577,7,4,3,2
578,4,6,7,4
579,5,2,1,3
580,3,3,1,5
581,6,6,6,1
582,6,5,3,2
583,2,3,7,6
584,2,2,3,2
585,5,1,3,4
586,5,1,5,3
587,7,5,4,2
588,4,4,3,5
589,6,6,1,1
590,4,3,6,2
591,4,7,5,1
592,1,1,6,6
593,7,1,6,2
594,6,3,7,1
595,7,1,1,4
596,6,6,7,7
597,5,3,2,3
598,5,5,5,7
599,5,5,7,3
600,3,3,4,4
601,7,2,5,6
602,2,2,5,2
603,5,3,7,3
604,7,2,4,3
605,3,4,7,5
606,6,5,6,7
607,5,5,2,4
608,6,2,4,4
609,7,7,6,7
610,7,1,2,2
611,6,2,1,5
612,2,2,1,4
613,1,6,3,5
614,7,1,4,4
615,6,3,5,5
616,3,4,4,7
617,1,5,6,4
618,5,5,6,2
619,7,1,3,2
620,7,3,5,5
621,5,5,5,4
622,7,1,5,3
623,6,5,5,1
624,3,6,5,1
625,1,6,1,6
626,5,4,4,6
627,2,3,4,1
628,5,2,2,5
629,6,6,7,3
630,1,5,4,2
631,2,4,6,2
632,7,7,4,2
633,4,5,6,3
634,1,3,2,5
635,5,6,6,5
636,4,6,3,5
637,6,2,2,1
638,2,4,2,2
639,1,5,5,7
640,5,1,1,2
641,2,4,4,6
642,2,7,4,3
643,4,4,4,1
644,6,1,3,3
645,7,4,4,4
646,3,1,5,4
647,4,6,5,2
648,7,3,5,5
649,2,1,7,3
650,3,1,6,4
651,7,6,2,1
652,3,5,3,1
653,6,6,5,3
654,3,5,6,4
655,3,5,4,5
656,4,3,5,6
657,6,2,7,7
658,3,5,2,7
659,5,5,7,6
660,6,3,7,5
661,6,7,3,6
662,3,3,6,5
663,4,3,7,6
664,4,3,5,3
665,7,1,3,2
666,7,6,3,7
667,3,2,5,3
668,3,7,6,2
669,2,6,3,1
670,3,1,6,2
671,3,7,2,6
672,5,4,5,7
673,4,5,3,7
674,1,4,1,6
675,6,3,2,7
676,5,7,2,5
677,1,3,4,3
678,2,5,5,6
679,5,5,2,6
680,1,2,4,2
681,3,6,2,6
682,1,5,7,1
683,5,7,7,3
684,6,3,7,6
685,6,5,1,3
686,2,5,7,3
687,1,4,7,5
688,4,6,1,6
689,3,5,7,6
690,5,7,7,7
691,6,1,7,1
692,3,1,5,6
693,3,6,3,4
694,2,2,3,4
695,5,7,2,6
696,3,6,6,3
697,1,1,2,6
698,5,2,5,2
699,6,5,2,4
700,6,7,4,6
701,7,7,7,3
702,2,7,2,2
703,4,2,5,3
704,1,2,2,4
705,7,5,7,1
706,3,7,6,3
707,3,3,4,5
708,5,4,3,2
709,7,3,7,6
710,1,5,6,4
711,6,4,4,7
712,4,4,1,1
713,5,3,7,4
714,1,5,1,7
715,3,5,4,5
716,6,1,3,2
717,5,3,6,4
718,6,2,2,7
719,7,4,5,4
720,4,6,2,4
721,5,6,4,5
722,6,4,5,5
723,5,5,3,5
724,2,4,2,4
725,5,7,2,4
726,7,1,3,5
727,1,1,6,4
728,4,7,4,6
729,3,3,5,4
730,5,5,3,5
731,2,6,7,5
732,1,3,4,1
733,4,1,2,1
734,5,3,6,1
735,7,1,2,5
736,5,1,7,7
737,4,4,2,5
738,7,7,7,7
739,1,5,6,7
740,3,6,5,7
741,2,1,1,1
742,2,7,2,7
743,6,4,4,2
744,4,4,5,3
745,3,6,7,3
746,6,7,2,6
747,7,1,5,4
748,7,7,1,7
749,7,5,4,1
750,3,3,3,5
751,6,6,1,4
752,5,2,7,7
753,1,1,1,7
754,6,5,5,7
755,7,3,2,5
756,3,4,4,6
757,3,6,3,7
758,1,3,7,3
759,1,3,6,3
760,6,5,4,5
761,3,3,2,7
762,1,7,3,3
763,3,2,3,5
764,5,2,7,1
765,1,5,6,5
766,3,6,1,4
767,2,5,4,3
768,3,4,5,1
769,7,3,2,2
770,1,4,7,5
771,5,2,2,2
772,7,2,5,3
773,6,7,6,4
774,6,3,3,7
775,1,2,4,5
776,2,2,4,4
777,3,6,2,4
778,2,2,1,1
779,7,3,3,6
780,6,5,4,5
781,1,5,1,2
782,6,5,3,6
783,7,5,4,2
784,2,6,1,7
785,4,3,5,3
786,1,4,7,1
787,4,2,7,6
788,4,5,2,4
789,6,6,7,3
790,5,6,5,5
791,6,6,7,7
792,6,7,7,3
793,7,4,3,4
794,5,1,7,3
795,6,2,2,5
796,1,1,7,1
797,4,3,1,4
798,5,2,5,3
799,2,4,5,3
800,5,7,1,3
801,4,2,4,7
802,4,2,1,7
803,5,6,6,5
804,1,2,7,3
805,1,1,6,4
806,5,6,2,1
807,5,4,3,4
808,1,5,3,5
809,1,6,1,5
810,4,6,6,2
811,5,3,1,4
812,2,2,7,5
813,6,6,3,6
814,3,1,6,6
815,7,2,2,1
816,6,5,2,1
817,2,3,4,6
818,5,6,3,4
819,6,1,2,7
820,1,2,1,4
821,6,2,1,3
822,2,6,6,1
823,2,1,7,6
824,6,5,1,1
825,4,6,2,4
826,4,5,6,2
827,3,6,1,6
828,3,4,6,6
829,6,6,2,5
830,3,7,4,5
831,2,6,4,6
832,3,4,6,1
833,5,4,6,6
834,7,1,5,7
835,3,2,4,6
836,4,4,4,3
837,7,1,4,4
838,3,2,4,4
839,4,4,7,7
840,3,2,2,2
841,5,7,6,1
842,5,7,7,6
843,7,1,5,1
844,5,2,2,3
845,4,5,5,6
846,4,1,5,2
847,5,6,7,5
848,4,3,3,1
849,6,6,7,2
850,7,2,6,3
851,6,6,6,5
852,6,6,5,2
853,5,4,4,7
854,5,7,3,3
855,7,3,7,5
856,7,6,7,2
857,5,6,3,5
858,5,1,2,7
859,1,3,5,3
860,5,7,1,6
861,1,7,1,7
862,1,4,5,4
863,2,7,6,7
864,6,4,3,5
865,5,4,6,5
866,4,2,5,4
867,5,6,4,7
868,4,3,7,2
869,4,5,4,7
870,3,4,3,4
871,5,1,7,3
872,2,1,2,7
873,1,5,6,5
874,3,4,4,6
875,2,6,3,3
876,4,3,6,7
877,4,1,7,2
878,6,6,5,7
879,4,5,5,1
880,3,4,5,4
881,5,3,5,4
882,1,6,5,2
883,1,3,7,5
884,7,6,7,7
885,4,4,7,6
886,7,6,4,3
887,4,7,1,1
888,2,5,4,1
889,7,1,7,7
890,6,7,3,5
891,7,3,2,5
892,3,4,4,1
893,5,3,1,5
894,3,2,2,3
895,4,2,1,7
896,3,7,1,6
897,6,2,1,1
898,3,3,3,3
899,4,6,7,5
900,7,2,4,2
901,3,4,3,7
902,7,6,2,3
903,2,6,6,6
904,4,5,5,7
905,7,1,4,7
906,2,5,6,1
907,7,2,3,3
908,3,2,2,1
909,7,7,5,1
910,1,1,1,5
911,1,1,3,2
912,5,3,7,7
913,6,1,1,6
914,5,6,1,5
915,5,4,3,5
916,2,4,5,3
917,2,2,5,5
918,3,5,4,1
919,6,7,2,4
920,7,3,4,2
921,7,5,5,4
922,4,6,2,2
923,3,2,5,1
924,5,7,2,5
925,5,2,1,4
926,2,2,7,4
927,2,1,7,6
928,3,6,3,3
929,3,5,1,3
930,6,1,3,2
931,1,1,3,6
932,2,6,7,3
933,4,6,3,5
934,2,7,1,4
935,4,6,6,1
936,1,6,6,1
937,2,6,4,5
938,1,3,6,2
939,3,6,2,7
940,2,5,5,5
941,6,5,2,6
942,7,3,7,1
943,2,1,3,4
944,2,5,7,1
945,1,5,7,2
946,2,1,1,7
947,1,1,7,6
948,4,1,3,4
949,7,2,7,6
950,3,3,1,2
951,3,3,6,7
952,4,4,4,7
953,2,1,5,1
954,3,4,5,5
955,7,7,7,3
956,6,3,5,6
957,6,3,1,3
958,2,6,2,2
959,1,3,6,4
960,7,1,2,1
961,2,2,1,4
962,2,2,1,5
963,3,5,4,3
964,1,3,4,4
965,2,4,7,4
966,4,6,6,2
967,1,3,7,7
968,2,4,1,6
969,5,1,7,2
970,2,4,4,3
971,6,7,4,2
972,5,1,3,2
973,1,2,2,4
974,5,5,2,3
975,6,5,6,3
976,7,1,7,7
977,6,4,6,4
978,6,2,2,1
979,6,7,2,1
980,1,5,1,2
981,7,2,4,3
982,1,1,2,7
983,1,5,7,7
984,2,4,5,5
985,2,5,1,3
986,4,3,1,7
987,5,3,6,1
988,4,6,7,2
989,7,2,1,2
990,5,3,7,6
991,5,6,7,1
992,5,1,1,5
993,4,2,6,2
994,6,1,3,7
995,1,6,2,4
996,2,3,7,4
997,7,5,7,6
998,1,3,6,1
999,3,2,3,2
