ID,interest,knowledge,helped_learning,rating
108,3,2,6,4
109,1,4,6,5
110,4,6,5,7
111,5,3,5,2
112,5,2,2,2
113,6,4,5,3
114,4,3,5,5
115,4,4,3,4
116,5,5,5,4
117,5,4,5,6
118,4,5,2,4
119,5,4,5,3
120,7,7,6,2
121,5,5,1,6
122,7,3,3,4
123,4,2,7,4
124,4,5,2,6
125,5,7,3,1
126,3,6,3,3
127,5,5,6,4
128,4,4,4,3
129,6,5,4,5
130,2,3,5,3
131,5,3,5,4
132,7,3,4,4
133,3,4,5,4
134,3,5,5,4
135,3,2,4,6
136,5,4,5,3
137,5,5,5,2
138,1,3,4,3
139,3,6,1,4
140,4,4,2,7
141,5,4,4,4
142,3,6,6,3
143,5,2,3,7
144,3,4,4,2
145,2,4,2,4
146,1,5,2,5
147,5,6,4,2
148,4,4,5,4
149,2,3,5,2
150,6,6,5,2
151,5,2,2,4
152,4,5,2,6
153,4,7,4,7
154,6,5,5,5
155,4,7,4,5
156,1,2,3,4
157,4,7,7,5
158,3,2,4,6
159,1,2,4,2
160,1,6,7,4
161,6,4,5,4
162,5,1,3,3
163,5,6,7,6
164,5,5,1,2
165,5,5,4,4
166,2,3,4,5
167,7,2,4,6
168,4,4,5,4
169,4,2,7,4
170,6,6,4,4
171,2,7,2,5
172,2,6,1,6
173,1,4,4,1
174,5,4,3,4
175,5,3,5,7
176,6,3,4,5
177,4,5,6,2
178,4,6,5,4
179,2,4,1,6
180,4,2,1,3
181,4,3,4,5
182,4,4,4,2
183,5,5,6,4
184,4,7,1,4
185,3,2,2,4
186,5,3,2,4
187,6,7,4,5
188,2,6,5,4
189,4,3,7,6
190,5,4,1,4
191,2,3,4,6
192,6,3,4,3
193,4,2,5,3
194,4,5,7,1
195,5,3,4,6
196,4,6,3,3
197,3,4,5,2
198,4,4,3,4
199,4,6,3,7
200,4,2,4,3
201,4,4,6,2
202,4,5,2,7
203,6,1,5,2
204,4,3,4,4
205,1,2,7,2
206,3,5,6,5
207,1,5,5,4
208,1,4,4,5
209,5,1,3,3
210,3,2,5,7
211,2,6,5,1
212,3,5,4,5
213,4,6,2,7
214,4,3,6,5
215,6,5,3,4
216,5,7,4,2
217,5,2,3,6
218,4,4,4,2
219,6,5,7,3
220,5,5,6,7
221,5,4,5,6
222,1,5,4,5
223,4,5,4,4
224,4,5,6,2
225,6,4,3,3
226,4,4,1,5
227,4,7,4,2
228,2,5,1,7
229,6,4,6,4
230,3,5,2,4
231,3,2,4,6
232,5,4,2,4
233,5,4,4,3
234,3,4,4,2
235,6,5,6,5
236,3,5,3,2
237,3,4,1,7
238,3,4,7,3
239,5,4,3,3
240,6,3,6,6
241,4,4,4,5
242,3,4,4,7
243,4,6,4,6
244,5,3,4,3
245,6,4,6,5
246,7,5,2,4
247,1,4,5,2
248,4,6,6,2
249,2,5,3,6
250,2,5,3,2
251,1,5,3,1
252,4,5,5,5
253,2,3,6,4
254,3,7,5,6
255,5,3,5,4
256,4,4,2,4
257,4,5,4,2
258,3,4,1,2
259,3,3,5,3
260,4,2,2,3
261,5,6,5,5
262,6,5,3,4
263,4,3,6,5
264,4,4,3,3
265,4,5,3,4
266,4,4,5,4
267,4,6,4,4
268,5,4,6,3
269,2,4,4,4
270,5,7,6,5
271,3,2,4,4
272,6,6,2,5
273,4,2,4,6
274,4,7,3,5
275,7,5,6,5
276,6,4,6,5
277,2,4,4,4
278,2,5,2,4
279,6,5,3,2
280,4,2,5,7
281,1,4,5,3
282,6,4,2,3
283,3,5,5,4
284,6,1,3,5
285,4,5,4,1
286,4,2,7,4
287,7,6,5,5
288,3,2,5,5
289,6,4,6,3
290,4,2,1,4
291,1,4,4,5
292,5,4,3,4
293,1,4,1,6
294,7,7,5,5
295,4,7,3,6
296,2,3,1,3
297,5,2,6,4
298,1,4,5,4
299,6,2,5,2
300,5,1,3,4
301,4,4,4,3
302,7,6,4,4
303,5,5,4,3
304,3,4,4,7
305,3,2,1,4
306,3,6,2,7
307,7,4,4,5
308,4,4,2,7
309,7,2,5,5
310,3,5,1,4
311,4,4,7,4
312,4,3,2,6
313,2,6,2,7
314,4,2,7,4
315,4,3,4,4
316,4,6,4,5
317,3,5,2,3
318,2,3,6,3
319,3,7,3,2
320,4,5,1,3
321,6,4,3,3
322,5,7,3,4
323,3,7,3,3
324,1,3,5,4
325,5,5,3,6
326,2,5,6,2
327,4,4,4,4
328,3,4,4,4
329,2,4,7,2
330,6,5,4,5
331,3,4,2,2
332,7,6,3,3
333,3,1,4,4
334,3,4,4,1
335,1,5,3,4
336,6,4,4,3
337,2,2,3,2
338,3,4,5,5
339,4,3,6,4
340,4,3,5,4
341,6,5,4,3
342,2,2,6,2
343,2,3,6,5
344,5,3,2,6
345,4,4,6,2
346,1,7,4,5
347,5,4,2,3
348,2,7,4,2
349,4,4,6,5
350,5,3,4,3
351,5,6,3,6
352,4,4,6,3
353,3,4,1,5
354,3,1,6,4
355,5,4,3,3
356,4,4,5,3
357,4,4,5,6
358,3,5,7,2
359,7,6,5,1
360,1,6,6,2
361,5,3,6,4
362,3,4,1,2
363,6,1,5,6
364,5,4,6,6
365,3,4,5,3
366,5,4,1,4
367,6,3,3,4
368,1,4,4,6
369,3,5,4,5
370,5,3,4,2
371,3,5,5,3
372,4,6,2,7
373,4,7,2,6
374,4,6,7,2
375,5,2,3,6
376,4,2,4,4
377,1,3,4,3
378,6,6,5,3
379,5,3,5,5
380,6,5,6,2
381,5,3,2,1
382,6,4,5,3
383,5,7,4,5
384,3,4,3,4
385,3,3,5,5
386,3,4,7,6
387,3,5,5,4
388,3,4,4,3
389,3,4,4,4
390,4,3,2,4
391,3,4,2,6
392,4,6,4,7
393,3,6,5,2
394,5,4,5,4
395,3,5,4,4
396,2,3,6,5
397,4,7,6,5
398,2,6,3,4
399,4,5,4,4
400,4,5,5,6
401,4,1,5,4
402,4,4,7,5
403,1,4,4,2
404,3,7,3,5
405,4,6,5,4
406,4,4,5,2
407,4,4,5,5
408,4,4,3,6
409,5,4,4,6
410,4,4,4,3
411,4,7,3,3
412,4,4,3,6
413,5,5,5,6
414,2,7,4,1
415,3,4,5,5
416,4,5,4,2
417,7,6,2,1
418,3,3,6,7
419,4,5,4,7
420,4,1,6,5
421,4,3,1,3
422,3,4,4,4
423,2,6,2,5
424,4,2,7,5
425,2,1,4,3
426,6,4,4,3
427,5,4,5,6
428,5,4,1,2
429,5,3,3,4
430,7,5,4,4
431,2,1,5,5
432,3,3,3,4
433,5,5,5,3
434,4,4,4,2
435,4,3,5,5
436,7,3,2,1
437,4,4,2,2
438,5,3,3,5
439,7,4,6,2
440,6,5,5,3
441,2,7,7,3
442,3,4,4,3
443,5,2,4,4
444,6,5,4,3
445,2,2,3,5
446,5,2,4,3
447,6,4,3,6
448,2,2,3,3
449,4,4,7,5
450,2,1,3,2
451,3,6,4,3
452,5,1,3,4
453,6,5,4,5
454,2,5,4,1
455,5,5,5,5
456,4,5,5,5
457,3,3,2,7
458,6,6,7,7
459,1,4,5,4
460,7,7,5,5
461,6,5,4,5
462,3,6,4,5
463,1,4,4,4
464,5,6,5,7
465,3,1,3,1
466,3,6,5,7
467,6,6,4,2
468,5,4,3,5
469,4,4,5,4
470,7,5,5,2
471,2,5,3,3
472,4,4,4,3
473,3,2,4,5
474,5,2,4,5
475,4,4,6,4
476,2,4,4,6
477,2,2,4,4
478,2,2,2,2
479,4,2,3,2
480,3,7,5,1
481,4,1,3,1
482,6,4,3,6
483,4,6,2,5
484,4,4,7,3
485,3,4,5,7
486,4,5,5,4
487,4,6,3,5
488,4,6,4,3
489,3,6,2,2
490,5,3,6,1
491,6,4,1,2
492,6,5,4,5
493,5,4,5,5
494,7,6,4,5
495,1,6,3,2
496,5,1,3,2
497,5,4,5,4
498,7,6,1,3
499,7,1,5,5
500,6,4,7,1
501,4,4,3,5
502,5,5,6,3
503,1,4,4,4
504,7,1,5,5
505,5,5,3,3
506,6,5,2,2
507,5,4,6,4
508,3,3,6,6
509,6,5,1,6
510,4,4,1,1
511,2,3,6,4
512,4,5,4,2
513,2,5,5,6
514,4,4,5,2
515,5,1,5,7
516,3,5,5,4
517,4,3,2,4
518,3,6,4,4
519,4,6,1,1
520,2,3,5,5
521,3,4,3,4
522,7,3,6,7
523,1,4,2,3
524,7,4,2,3
525,3,4,4,2
526,5,4,6,3
527,4,5,7,4
528,2,6,5,5
529,4,5,5,7
530,3,4,6,1
531,4,3,6,3
532,6,2,4,7
533,5,3,4,5
534,7,7,1,2
535,5,3,3,4
536,7,3,3,4
537,4,2,2,3
538,6,4,7,4
539,3,1,4,2
540,2,5,4,4
541,4,5,1,4
542,4,3,4,3
543,5,1,4,4
544,6,5,2,4
545,6,5,4,3
546,3,5,7,6
547,3,6,6,5
548,7,7,3,1
549,2,1,6,3
550,5,3,5,6
551,4,4,4,7
552,5,5,6,4
553,4,6,5,1
554,5,6,4,4
555,2,6,2,4
556,4,7,3,2
557,5,4,5,3
558,2,6,3,3
559,3,7,4,4
560,6,1,4,1
561,5,7,4,6
562,6,4,4,5
563,4,2,3,5
564,3,3,7,5
565,7,5,7,4
566,1,4,5,1
567,2,5,4,5
568,5,1,7,5
569,4,4,4,5
570,5,4,6,5
571,5,3,5,3
572,6,2,4,5
573,2,7,6,5
574,4,4,2,7
575,5,5,3,4
576,5,3,3,1
577,2,2,3,2
578,5,5,7,2
579,3,3,4,6
580,6,5,3,5
581,3,6,2,4
582,4,3,5,7
583,5,5,5,6
584,4,7,3,5
585,2,4,2,6
586,5,4,2,5
587,3,3,5,4
588,3,4,2,5
589,5,6,3,5
590,3,4,6,4
591,6,6,5,7
592,6,5,6,4
593,4,6,7,5
594,4,2,5,4
595,5,5,3,4
596,5,3,4,4
597,5,4,6,5
598,2,3,6,3
599,6,5,4,4
600,3,3,2,4
601,5,2,4,3
602,2,2,5,5
603,4,1,3,6
604,5,4,5,5
605,5,2,5,5
606,4,6,1,3
607,4,3,1,5
608,2,3,7,3
609,6,6,4,4
610,5,6,5,5
611,5,4,5,3
612,5,2,2,5
613,4,5,5,3
614,2,3,2,5
615,4,4,5,5
616,4,5,4,4
617,4,6,4,3
618,2,7,1,3
619,4,3,4,2
620,2,1,4,5
621,2,4,5,5
622,6,3,5,3
623,2,5,5,4
624,1,6,3,5
625,4,3,4,3
626,3,1,4,3
627,5,5,4,2
628,6,2,1,7
629,7,4,1,6
630,4,5,4,3
631,4,1,5,6
632,3,4,6,5
633,3,6,4,5
634,3,4,3,2
635,4,4,3,4
636,5,5,1,4
637,2,2,3,4
638,3,4,3,3
639,1,2,6,7
640,5,3,3,6
641,3,1,4,4
642,2,1,2,7
643,4,6,2,5
644,3,3,3,5
645,6,4,4,7
646,5,7,7,4
647,5,3,4,4
648,5,7,5,4
649,1,6,4,3
650,4,3,7,6
651,6,3,3,4
652,7,2,5,2
653,6,6,4,6
654,3,5,3,4
655,7,4,5,3
656,3,4,5,3
657,4,1,4,4
658,5,4,1,5
659,5,3,5,3
660,6,7,5,2
661,1,4,5,5
662,4,4,2,5
663,5,3,6,4
664,2,4,7,6
665,4,5,4,3
666,3,3,5,6
667,4,6,1,5
668,1,5,5,5
669,3,7,4,5
670,2,7,4,3
671,6,6,5,7
672,4,3,6,3
673,6,3,6,4
674,3,3,5,2
675,2,3,4,4
676,4,6,6,7
677,2,6,3,6
678,3,6,5,3
679,3,6,5,7
680,4,4,2,4
681,4,4,4,6
682,5,2,5,4
683,6,2,2,4
684,7,2,4,7
685,4,3,6,4
686,3,3,3,3
687,1,6,5,2
688,5,1,3,4
689,3,3,1,5
690,7,2,7,2
691,2,5,5,2
692,4,4,4,2
693,4,5,4,2
694,2,3,5,4
695,6,5,3,3
696,2,6,6,7
697,5,5,6,7
698,3,4,2,3
699,6,2,3,1
700,5,6,5,3
701,4,2,5,7
702,7,3,3,4
703,5,2,4,1
704,4,5,5,6
705,1,4,5,7
706,3,4,5,2
707,4,4,4,5
708,4,6,4,6
709,6,3,3,4
710,4,3,4,5
711,4,3,4,4
712,3,6,3,7
713,3,4,4,2
714,5,3,4,3
715,3,4,2,4
716,2,4,4,6
717,4,3,4,5
718,5,4,3,4
719,3,1,4,4
720,3,5,6,5
721,4,2,3,5
722,4,4,5,1
723,2,3,5,5
724,2,4,6,3
725,4,3,2,5
726,6,4,3,6
727,5,2,4,2
728,5,4,5,5
729,7,3,3,4
730,2,6,4,6
731,5,5,2,4
732,4,2,5,4
733,5,3,5,3
734,5,6,4,1
735,6,3,5,5
736,2,5,4,3
737,2,5,4,4
738,4,4,5,4
739,7,5,6,4
740,6,1,7,5
741,4,6,3,5
742,5,6,3,4
743,3,3,2,2
744,4,5,5,3
745,5,1,4,5
746,1,6,1,6
747,4,3,3,2
748,7,1,4,3
749,4,4,6,4
750,3,2,6,7
751,4,3,4,3
752,5,4,1,4
753,3,6,4,2
754,3,6,4,4
755,5,5,7,4
756,2,1,4,4
757,4,5,4,4
758,2,3,2,2
759,5,1,3,1
760,2,7,5,5
761,4,4,5,4
762,4,2,4,4
763,3,2,3,5
764,5,5,7,6
765,4,4,3,4
766,5,7,3,6
767,3,2,3,4
768,1,4,2,2
769,2,3,3,2
770,6,2,4,5
771,4,5,4,6
772,6,2,5,6
773,4,5,7,1
774,4,4,5,7
775,1,4,4,2
776,3,2,6,4
777,2,3,1,2
778,5,4,5,5
779,4,4,6,3
780,4,2,6,7
781,3,2,2,4
782,3,3,1,4
783,4,3,2,4
784,4,4,3,3
785,2,3,3,4
786,5,4,7,2
787,5,3,3,4
788,3,4,4,5
789,1,3,5,6
790,5,6,6,1
791,5,4,5,4
792,2,3,5,6
793,6,5,4,3
794,3,4,6,6
795,4,7,5,4
796,4,4,3,3
797,4,4,6,5
798,4,5,3,2
799,5,4,6,2
800,4,4,3,2
801,3,5,3,4
802,6,6,2,3
803,1,6,6,2
804,4,1,4,2
805,6,2,2,5
806,7,5,3,2
807,5,5,5,4
808,6,4,3,4
809,5,5,3,1
810,6,2,4,6
811,5,6,4,4
812,4,4,5,5
813,5,5,4,5
814,3,2,4,5
815,4,4,2,3
816,6,7,5,4
817,4,6,1,5
818,4,4,7,7
819,5,2,4,2
820,2,5,5,3
821,3,2,5,3
822,7,4,2,6
823,3,4,7,7
824,3,2,4,3
825,3,6,3,4
826,7,6,7,7
827,1,4,3,5
828,3,5,4,5
829,5,4,3,6
830,7,2,7,5
831,4,6,4,4
832,3,3,4,4
833,5,3,3,5
834,4,4,5,5
835,7,2,3,6
836,5,4,3,1
837,5,4,5,7
838,5,2,4,4
839,3,2,5,5
840,4,3,5,3
841,6,2,2,3
842,4,3,5,3
843,5,4,5,4
844,1,1,3,4
845,2,2,2,4
846,4,6,7,4
847,3,4,6,3
848,2,6,5,4
849,2,4,6,2
850,5,4,6,3
851,5,3,4,4
852,5,7,2,3
853,4,7,5,6
854,3,1,7,3
855,5,2,5,3
856,3,5,7,4
857,4,2,4,4
858,4,3,7,4
859,6,6,7,5
860,7,7,2,4
861,2,6,2,1
862,2,2,3,5
863,4,5,1,1
864,1,2,1,7
865,3,4,3,5
866,5,4,5,4
867,3,2,2,6
868,4,6,5,5
869,2,5,5,3
870,4,1,4,6
871,3,6,6,4
872,2,5,5,2
873,1,1,5,4
874,5,6,4,7
875,2,5,3,4
876,5,2,5,4
877,6,7,1,4
878,1,5,5,3
879,4,3,4,4
880,2,6,3,3
881,4,3,4,1
882,5,6,7,4
883,4,4,1,6
884,1,5,5,2
885,5,4,5,2
886,6,3,3,4
887,3,6,4,5
888,2,4,3,5
889,5,6,2,6
890,2,4,3,4
891,6,1,3,5
892,5,2,2,4
893,3,4,2,3
894,4,4,4,3
895,5,1,3,6
896,3,4,5,4
897,4,5,4,3
898,5,1,1,2
899,7,5,1,2
900,5,4,5,7
901,5,3,5,5
902,1,2,1,4
903,2,2,1,5
904,6,4,5,4
905,5,5,1,3
906,4,2,1,6
907,4,3,6,4
908,4,1,4,5
909,3,3,3,4
910,2,4,2,3
911,4,3,4,3
912,5,4,6,6
913,3,6,1,2
914,5,6,4,1
915,3,4,5,4
916,4,2,4,3
917,4,6,7,7
918,4,3,6,2
919,4,1,6,4
920,5,5,1,3
921,6,4,4,6
922,2,5,4,2
923,4,7,5,3
924,6,5,6,2
925,2,2,4,6
926,4,3,4,2
927,6,5,2,5
928,2,4,1,4
929,6,4,3,2
930,6,3,4,5
931,6,2,4,6
932,4,2,3,2
933,6,4,4,5
934,4,4,5,6
935,5,6,3,3
936,5,4,7,5
937,3,4,5,5
938,5,5,5,3
939,5,4,3,2
940,4,4,3,7
941,3,7,5,2
942,3,3,5,5
943,5,5,2,7
944,6,3,3,4
945,5,4,2,2
946,4,3,1,7
947,3,3,4,2
948,6,2,1,2
949,5,3,4,3
950,2,4,4,4
951,6,5,4,5
952,2,4,4,2
953,1,4,4,4
954,4,3,4,7
955,3,2,4,3
956,3,5,7,4
957,5,2,6,3
958,5,3,4,6
959,4,4,1,5
960,2,3,7,2
961,6,1,3,1
962,2,3,3,6
963,1,2,3,5
964,4,6,2,4
965,4,3,2,7
966,2,2,5,1
967,2,7,3,7
968,6,3,4,4
969,3,3,4,4
970,5,2,4,3
971,5,5,4,4
972,3,4,5,4
973,4,5,6,3
974,2,2,1,6
975,3,2,6,6
976,5,4,7,6
977,5,4,4,2
978,2,4,5,6
979,3,4,4,4
980,5,5,5,5
981,6,3,3,2
982,5,6,6,4
983,5,5,2,3
984,4,4,5,3
985,4,2,4,3
986,6,3,1,5
987,3,5,5,4
988,4,6,5,3
989,4,6,7,7
990,5,1,3,4
991,5,5,5,6
992,2,1,3,3
993,6,6,6,5
994,3,3,3,5
995,1,1,7,3
996,6,6,2,6
997,3,6,2,6
998,5,7,7,5
999,7,7,4,5
